franchID,LgRk,MP,W,D,L,GF,GA,GD,Pts,Pts/G,yearID
Real Madrid,4,38,21,7,10,72,54,18,70,1.84,2004
Real Murcia,20,38,5,11,22,29,57,-28,26,0.68,2004
Real Sociedad,15,38,11,13,14,49,53,-4,46,1.21,2004
Sevilla,6,38,15,10,13,56,45,11,55,1.45,2004
Valencia,1,38,23,8,7,71,27,44,77,2.03,2004
Valladolid,18,38,10,11,17,46,56,-10,41,1.08,2004
Villarreal,8,38,15,9,14,47,49,-2,54,1.42,2004
Zaragoza,12,38,13,9,16,46,55,-9,48,1.26,2004
Albacete,20,38,6,10,22,33,56,-23,28,0.74,2005
Athletic Club,8,38,14,9,15,59,54,5,51,1.34,2005
Atlético Madrid,11,38,13,11,14,40,34,6,50,1.32,2005
Barcelona,1,38,25,9,4,73,29,44,84,2.21,2005
Espanyol,5,38,17,10,11,54,46,8,61,1.61,2005
Getafe,13,38,12,11,15,38,46,-8,47,1.24,2005
La Coruña,9,38,12,15,11,46,50,-4,51,1.34,2005
Levante,18,38,9,10,19,39,58,-19,37,0.97,2005
Málaga,10,38,15,6,17,40,48,-8,51,1.34,2005
Mallorca,17,38,10,9,19,42,63,-21,39,1.03,2005
Numancia,19,38,6,11,21,30,61,-31,29,0.76,2005
Osasuna,15,38,12,10,16,46,65,-19,46,1.21,2005
Racing Sant,16,38,12,8,18,41,58,-17,44,1.16,2005
Real Betis,4,38,16,14,8,62,50,12,62,1.63,2005
Real Madrid,2,38,25,5,8,71,32,39,80,2.11,2005
Real Sociedad,14,38,13,8,17,47,56,-9,47,1.24,2005
Sevilla,6,38,17,9,12,44,41,3,60,1.58,2005
Valencia,7,38,14,16,8,54,39,15,58,1.53,2005
Villarreal,3,38,18,11,9,69,37,32,65,1.71,2005
Zaragoza,12,38,14,8,16,52,57,-5,50,1.32,2005
Alavés,18,38,9,12,17,35,54,-19,39,1.03,2006
Athletic Club,12,38,11,12,15,40,46,-6,45,1.18,2006
Atlético Madrid,10,38,13,13,12,45,37,8,52,1.37,2006
Barcelona,1,38,25,7,6,80,35,45,82,2.16,2006
Cádiz,19,38,8,12,18,36,52,-16,36,0.95,2006
Celta Vigo,6,38,20,4,14,45,33,12,64,1.68,2006
Espanyol,15,38,10,11,17,36,56,-20,41,1.08,2006
Getafe,9,38,15,9,14,54,49,5,54,1.42,2006
La Coruña,8,38,15,10,13,47,45,2,55,1.45,2006
Málaga,20,38,5,9,24,36,68,-32,24,0.63,2006
Mallorca,13,38,10,13,15,37,51,-14,43,1.13,2006
Osasuna,4,38,21,5,12,49,43,6,68,1.79,2006
Racing Sant,17,38,9,13,16,36,49,-13,40,1.05,2006
Real Betis,14,38,10,12,16,34,51,-17,42,1.11,2006
Real Madrid,2,38,20,10,8,70,40,30,70,1.84,2006
Real Sociedad,16,38,11,7,20,48,65,-17,40,1.05,2006
Sevilla,5,38,20,8,10,54,39,15,68,1.79,2006
Valencia,3,38,19,12,7,58,33,25,69,1.82,2006
Villarreal,7,38,14,15,9,50,39,11,57,1.5,2006
Zaragoza,11,38,10,16,12,46,51,-5,46,1.21,2006
Athletic Club,17,38,10,10,18,44,62,-18,40,1.05,2007
Atlético Madrid,7,38,17,9,12,46,39,7,60,1.58,2007
Barcelona,2,38,22,10,6,78,33,45,76,2,2007
