yearID,franchID,team,W,L,Ties,W-L%,GB,ch_win,ch_app
2000,SKW,SK Wyverns,44,86,3,0.338,23,N,N
2001,OBB,Doosan Bears,65,63,5,0.508,13.5,Y,Y
2001,BGE,Hanwha Eagles,61,68,4,0.473,18,N,N
2001,SMS,Hyundai Unicorns,72,57,4,0.558,7,N,N
2001,HAI,Kia Tigers,60,68,5,0.469,18.5,N,N
2001,MBC,LG Twins,58,67,8,0.464,19,N,N
2001,LOG,Lotte Giants,59,70,4,0.457,20,N,N
2001,SAM,Samsung Lions,81,52,0,0.609,--,N,Y
2001,SKW,SK Wyverns,60,71,2,0.458,20,N,N
2002,OBB,Doosan Bears,66,65,2,0.504,17,N,N
2002,BGE,Hanwha Eagles,59,69,5,0.461,22.5,N,N
2002,SMS,Hyundai Unicorns,70,58,5,0.547,11.5,N,N
2002,HAI,Kia Tigers,78,51,4,0.605,4,N,N
2002,MBC,LG Twins,66,61,6,0.52,15,N,Y
2002,LOG,Lotte Giants,35,97,1,0.265,48.5,N,N
2002,SAM,Samsung Lions,82,47,4,0.636,--,Y,Y
2002,SKW,SK Wyverns,61,69,3,0.469,21.5,N,N
2003,OBB,Doosan Bears,57,74,2,0.435,23,N,N
2003,BGE,Hanwha Eagles,63,65,5,0.492,15.5,N,N
2003,SMS,Hyundai Unicorns,80,51,2,0.611,--,Y,Y
2003,HAI,Kia Tigers,78,50,5,0.609,0.5,N,N
2003,MBC,LG Twins,60,71,2,0.458,20,N,N
2003,LOG,Lotte Giants,39,91,3,0.3,40.5,N,N
2003,SAM,Samsung Lions,76,53,4,0.589,3,N,N
2003,SKW,SK Wyverns,66,64,3,0.508,13.5,N,Y
2004,OBB,Doosan Bears,70,62,1,0.53,7,N,N
2004,BGE,Hanwha Eagles,53,74,6,0.417,21.5,N,N
2004,SMS,Hyundai Unicorns,75,53,5,0.586,--,Y,Y
2004,HAI,Kia Tigers,67,61,5,0.523,8,N,N
2004,MBC,LG Twins,59,70,4,0.457,16.5,N,N
2004,LOG,Lotte Giants,50,72,11,0.41,22,N,N
2004,SAM,Samsung Lions,73,52,8,0.584,0.5,N,Y
