franchID,City,Team,yearID,LG,Ord,G,W,L,T,Cwin,CRU
TYS,Yakult,Swallows,2000,C,4,136,66,69,1,N,N
HIR,Hiroshima Toyo,Carp,2000,C,5,136,65,70,1,N,N
HAN,Hanshin,Tigers,2000,C,6,136,57,78,1,N,N
FUK,Fukuoka Daiei,Hawks,2000,P,1,135,73,60,2,N,Y
SSL,Seibu,Lions,2000,P,2,135,69,61,5,N,N
HNF,Nippon Ham,Fighters,2000,P,3,135,69,65,1,N,N
BUF,Orix,Blue Wave,2000,P,4,135,64,67,4,N,N
CLM,Chiba Lotte,Marines,2000,P,5,135,62,67,6,N,N
KIN,Osaka Kintetsu,Buffaloes,2000,P,6,135,58,75,2,N,N
TYS,Yakult,Swallows,2001,C,1,140,76,58,6,Y,N
YMG,Yomiuri,Giants,2001,C,2,140,75,63,2,N,N
YOK,Yokohoma,Bay Stars,2001,C,3,140,69,67,4,N,N
HIR,Hiroshima,Carp,2001,C,4,140,68,65,7,N,N
CDR,Chuncihi,Dragons,2001,C,5,140,62,74,4,N,N
HAN,Hanshin,Tigers,2001,C,6,140,57,80,3,N,N
KIN,Kintetsu,Buffaloes,2001,P,1,140,78,60,2,N,Y
FUK,Daiei,Hawks,2001,P,2,140,76,63,1,N,N
SSL,Seibu,Lions,2001,P,3,140,73,67,0,N,N
BUF,Orix,Blue Wave,2001,P,4,140,70,66,4,N,N
CLM,Lotte,Marines,2001,P,5,140,64,74,2,N,N
HNF,Nippon Ham,Fighters,2001,P,6,140,53,84,3,N,N
YMG,Yomiuri,Giants,2002,C,1,140,86,52,2,Y,N
TYS,Yakult,Swallows,2002,C,2,140,74,62,4,N,N
CDR,Chunichi,Dragons,2002,C,3,140,69,66,5,N,N
HAN,Hanshin,Tigers,2002,C,4,140,66,70,4,N,N
HIR,Hiroshima,Carp,2002,C,5,140,64,72,4,N,N
YOK,Yokohoma,Bay Stars,2002,C,6,140,49,86,5,N,N
SSL,Seibu,Lions,2002,P,1,140,90,49,1,N,Y
KIN,Kintetsu,Buffaloes,2002,P,2,140,73,65,2,N,N
FUK,Daiei,Hawks,2002,P,3,140,73,65,2,N,N
CLM,Chiba Lotte,Marines,2002,P,4,140,67,72,1,N,N
HNF,Nippon Ham,Fighters,2002,P,5,140,61,76,3,N,N
BUF,Orix,Blue Wave,2002,P,6,140,50,87,3,N,N
HAN,Hanshin,Tigers,2003,C,1,140,87,51,2,N,Y
CDR,Chunichi,Dragons,2003,C,2,140,73,66,1,N,N
YMG,Yomiuri,Giants,2003,C,3,140,71,66,3,N,N
TYS,Yakult,Swallows,2003,C,4,140,71,66,3,N,N
HIR,Hiroshima,Carp,2003,C,5,140,67,71,2,N,N
