yearID,franchID,Lg,Tm,W,L,T,Div. Finish,Playoffs,ch_sb_win,ch_sb_app
2006,CHI,NFL,Chicago Bears,13,3,0,1st of 4,Lost SB,N,Y
2005,CHI,NFL,Chicago Bears,11,5,0,1st of 4,Lost Div,N,N
2004,CHI,NFL,Chicago Bears,5,11,0,4th of 4,,N,N
2003,CHI,NFL,Chicago Bears,7,9,0,3rd of 4,,N,N
2002,CHI,NFL,Chicago Bears,4,12,0,3rd of 4,,N,N
2001,CHI,NFL,Chicago Bears,13,3,0,1st of 5,Lost Div,N,N
2000,CHI,NFL,Chicago Bears,5,11,0,5th of 5,,N,N
1999,CHI,NFL,Chicago Bears,6,10,0,5th of 5,,N,N
1998,CHI,NFL,Chicago Bears,4,12,0,5th of 5,,N,N
1997,CHI,NFL,Chicago Bears,4,12,0,5th of 5,,N,N
1996,CHI,NFL,Chicago Bears,7,9,0,3rd of 5,,N,N
1995,CHI,NFL,Chicago Bears,9,7,0,3rd of 5,,N,N
1994,CHI,NFL,Chicago Bears,9,7,0,4th of 5,Lost Div,N,N
1993,CHI,NFL,Chicago Bears,7,9,0,4th of 5,,N,N
1992,CHI,NFL,Chicago Bears,5,11,0,4th of 5,,N,N
1991,CHI,NFL,Chicago Bears,11,5,0,2nd of 5,Lost WC,N,N
1990,CHI,NFL,Chicago Bears,11,5,0,1st of 5,Lost Div,N,N
1989,CHI,NFL,Chicago Bears,6,10,0,4th of 5,,N,N
1988,CHI,NFL,Chicago Bears,12,4,0,1st of 5,Lost Conf,N,N
1987,CHI,NFL,Chicago Bears,11,4,0,1st of 5,Lost Div,N,N
1986,CHI,NFL,Chicago Bears,14,2,0,1st of 5,Lost Div,N,N
1985,CHI,NFL,Chicago Bears,15,1,0,1st of 5,Won SB,Y,Y
1984,CHI,NFL,Chicago Bears,10,6,0,1st of 5,Lost Conf,N,N
1983,CHI,NFL,Chicago Bears,8,8,0,3rd of 5,,N,N
1982,CHI,NFL,Chicago Bears,3,6,0,5th of 5,,N,N
1981,CHI,NFL,Chicago Bears,6,10,0,5th of 5,,N,N
1980,CHI,NFL,Chicago Bears,7,9,0,3rd of 5,,N,N
1979,CHI,NFL,Chicago Bears,10,6,0,2nd of 5,Lost WC,N,N
1978,CHI,NFL,Chicago Bears,7,9,0,4th of 5,,N,N
1977,CHI,NFL,Chicago Bears,9,5,0,2nd of 5,Lost Div,N,N
1976,CHI,NFL,Chicago Bears,7,7,0,2nd of 4,,N,N
1975,CHI,NFL,Chicago Bears,4,10,0,3rd of 4,,N,N
1974,CHI,NFL,Chicago Bears,4,10,0,4th of 4,,N,N
1973,CHI,NFL,Chicago Bears,3,11,0,4th of 4,,N,N
1972,CHI,NFL,Chicago Bears,4,9,1,4th of 4,,N,N
1971,CHI,NFL,Chicago Bears,6,8,0,3rd of 4,,N,N
1970,CHI,NFL,Chicago Bears,6,8,0,4th of 4,,N,N
1969,CHI,NFL,Chicago Bears,1,13,0,4th of 4,,N,N
1968,CHI,NFL,Chicago Bears,7,7,0,2nd of 4,,N,N
1967,CHI,NFL,Chicago Bears,7,6,1,2nd of 4,,N,N
1966,CHI,NFL,Chicago Bears,5,7,2,5th of 7,,N,N
1965,CHI,NFL,Chicago Bears,9,5,0,3rd of 7,,N,N
1964,CHI,NFL,Chicago Bears,5,9,0,6th of 7,,N,N
