yearID,lgID,tmID,franchID,name,confID,divID,playoff,G,W,L,T,OTL
1991,NHL,LAK,LAK,Los Angeles Kings,CC,SM,DSF,80,35,31,14,
1991,NHL,MNS,DAL,Minnesota North Stars,CC,NO,DSF,80,32,42,6,
1991,NHL,MTL,MTL,Montreal Canadiens,WA,AD,DF,80,41,28,11,
1991,NHL,NJD,NJD,New Jersey Devils,WA,PT,DSF,80,38,31,11,
1991,NHL,NYI,NYI,New York Islanders,WA,PT,,80,34,35,11,
1991,NHL,NYR,NYR,New York Rangers,WA,PT,DF,80,50,25,5,
1991,NHL,PHI,PHI,Philadelphia Flyers,WA,PT,,80,32,37,11,
1991,NHL,PIT,PIT,Pittsburgh Penguins,WA,PT,SC,80,39,32,9,
1991,NHL,QUE,COL,Quebec Nordiques,WA,AD,,80,20,48,12,
1991,NHL,SJS,SJS,San Jose Sharks,CC,SM,,80,17,58,5,
1991,NHL,STL,STL,St. Louis Blues,CC,NO,DSF,80,36,33,11,
1991,NHL,TOR,TOR,Toronto Maple Leafs,CC,NO,,80,30,43,7,
1991,NHL,VAN,VAN,Vancouver Canucks,CC,SM,DF,80,42,26,12,
1991,NHL,WAS,WAS,Washington Capitals,WA,PT,DSF,80,45,27,8,
1991,NHL,WIN,PHO,Winnipeg Jets,CC,SM,DSF,80,33,32,15,
1992,NHL,BOS,BOS,Boston Bruins,WA,AD,DSF,84,51,26,7,
1992,NHL,BUF,BUF,Buffalo Sabres,WA,AD,DF,84,38,36,10,
1992,NHL,CAL,CAL,Calgary Flames,CC,SM,DSF,84,43,30,11,
1992,NHL,CHI,CHI,Chicago Blackhawks,CC,NO,DSF,84,47,25,12,
1992,NHL,DET,DET,Detroit Red Wings,CC,NO,DSF,84,47,28,9,
1992,NHL,EDM,EDM,Edmonton Oilers,CC,SM,,84,26,50,8,
1992,NHL,HAR,CAR,Hartford Whalers,WA,AD,,84,26,52,6,
1992,NHL,LAK,LAK,Los Angeles Kings,CC,SM,F,84,39,35,10,
1992,NHL,MNS,DAL,Minnesota North Stars,CC,NO,,84,36,38,10,
1992,NHL,MTL,MTL,Montreal Canadiens,WA,AD,SC,84,48,30,6,
1992,NHL,NJD,NJD,New Jersey Devils,WA,PT,DSF,84,40,37,7,
1992,NHL,NYI,NYI,New York Islanders,WA,PT,CF,84,40,37,7,
1992,NHL,NYR,NYR,New York Rangers,WA,PT,,84,34,39,11,
1992,NHL,OTT,OTT,Ottawa Senators,WA,AD,,84,10,70,4,
1992,NHL,PHI,PHI,Philadelphia Flyers,WA,PT,,84,36,37,11,
1992,NHL,PIT,PIT,Pittsburgh Penguins,WA,PT,DF,84,56,21,7,
1992,NHL,QUE,COL,Quebec Nordiques,WA,AD,DSF,84,47,27,10,
1992,NHL,SJS,SJS,San Jose Sharks,CC,SM,,84,11,71,2,
1992,NHL,STL,STL,St. Louis Blues,CC,NO,DF,84,37,36,11,
1992,NHL,TBL,TBL,Tampa Bay Lightning,CC,NO,,84,23,54,7,
1992,NHL,TOR,TOR,Toronto Maple Leafs,CC,NO,CF,84,44,29,11,
1992,NHL,VAN,VAN,Vancouver Canucks,CC,SM,DF,84,46,29,9,
1992,NHL,WAS,WAS,Washington Capitals,WA,PT,DSF,84,43,34,7,
1992,NHL,WIN,PHO,Winnipeg Jets,CC,SM,DSF,84,40,37,7,
1993,NHL,ANA,ANA,Mighty Ducks of Anaheim,WC,PC,,84,33,46,5,
1993,NHL,BOS,BOS,Boston Bruins,EC,NE,CSF,84,42,29,13,
1993,NHL,BUF,BUF,Buffalo Sabres,EC,NE,CQF,84,43,32,9,
1993,NHL,CAL,CAL,Calgary Flames,WC,PC,CQF,84,42,29,13,
1993,NHL,CHI,CHI,Chicago Blackhawks,WC,CE,CQF,84,39,36,9,
1993,NHL,DAL,DAL,Dallas Stars,WC,CE,CSF,84,42,29,13,
1993,NHL,DET,DET,Detroit Red Wings,WC,CE,CQF,84,46,30,8,
1993,NHL,EDM,EDM,Edmonton Oilers,WC,PC,,84,25,45,14,
1993,NHL,FLO,FLO,Florida Panthers,EC,AT,,84,33,34,17,
1993,NHL,HAR,CAR,Hartford Whalers,EC,NE,,84,27,48,9,
1993,NHL,LAK,LAK,Los Angeles Kings,WC,PC,,84,27,45,12,
1993,NHL,MTL,MTL,Montreal Canadiens,EC,NE,CQF,84,41,29,14,
1993,NHL,NJD,NJD,New Jersey Devils,EC,AT,CF,84,47,25,12,
1993,NHL,NYI,NYI,New York Islanders,EC,AT,CQF,84,36,36,12,
1993,NHL,NYR,NYR,New York Rangers,EC,AT,SC,84,52,24,8,
1993,NHL,OTT,OTT,Ottawa Senators,EC,NE,,84,14,61,9,
1993,NHL,PHI,PHI,Philadelphia Flyers,EC,AT,,84,35,39,10,
1993,NHL,PIT,PIT,Pittsburgh Penguins,EC,NE,CQF,84,44,27,13,
1993,NHL,QUE,COL,Quebec Nordiques,EC,NE,,84,34,42,8,
1993,NHL,SJS,SJS,San Jose Sharks,WC,PC,CSF,84,33,35,16,
1993,NHL,STL,STL,St. Louis Blues,WC,CE,CQF,84,40,33,11,
1993,NHL,TBL,TBL,Tampa Bay Lightning,EC,AT,,84,30,43,11,
1993,NHL,TOR,TOR,Toronto Maple Leafs,WC,CE,CF,84,43,29,12,
1993,NHL,VAN,VAN,Vancouver Canucks,WC,PC,F,84,41,40,3,
1993,NHL,WAS,WAS,Washington Capitals,EC,AT,CSF,84,39,35,10,
1993,NHL,WIN,PHO,Winnipeg Jets,WC,CE,,84,24,51,9,
1994,NHL,ANA,ANA,Mighty Ducks of Anaheim,WC,PC,,48,16,27,5,
1994,NHL,BOS,BOS,Boston Bruins,EC,NE,CQF,48,27,18,3,
