yearID,franchID,Team,GP,W,D,L,SOW,GF,GA,GD,Pts,Qualification,playoffs,ch_app,ch_win,supporters_shield
2002,CLM,Columbus Crew,28,11,5,12,,44,43,1,38,"2002 MLS Cup Playoffs, 2003 U.S. Open Cup",Y,N,N,N
2002,LAG,Los Angeles Galaxy,28,16,3,9,,44,33,11,51,"2003 CONCACAF Champions Cup, 2002 MLS Cup Playoffs, 2003 U.S. Open Cup",Y,Y,Y,Y
2002,DCU,D.C. United,28,9,5,14,,31,40,-9,32,,N,N,N,N
2002,DAL,Dallas Burn,28,12,7,9,,44,43,1,43,"2002 MLS Cup Playoffs, 2003 U.S. Open Cup",Y,N,N,N
2002,SKC,Kansas City Wizards,28,9,9,10,,37,45,-8,36,"2002 MLS Cup Playoffs, 2003 U.S. Open Cup",Y,N,N,N
2002,NYB,MetroStars,28,11,2,15,,41,47,-6,35,,N,N,N,N
2002,NER,New England Revolution,28,12,2,14,,49,49,0,38,"2002 MLS Cup Playoffs, 2003 U.S. Open Cup",Y,Y,N,N
2002,SJE,San Jose Earthquakes,28,14,3,11,,45,35,10,45,"2003 CONCACAF Champions Cup1, 2002 MLS Cup Playoffs, 2003 U.S. Open Cup",Y,N,N,N
2003,CHI,Chicago Fire,30,15,8,7,,53,43,10,53,,Y,Y,N,Y
2003,COL,Colorado Rapids,30,11,7,12,,40,45,-5,40,,Y,N,N,N
2003,CLM,Columbus Crew,30,10,8,12,,44,44,0,38,,N,N,N,N
2003,SJE,San Jose Earthquakes,30,14,9,7,,45,35,10,51,,Y,Y,Y,N
2003,DCU,D.C. United,30,10,9,11,,38,36,2,39,,Y,N,N,N
2003,DAL,Dallas Burn,30,6,5,19,,35,64,-29,23,,N,N,N,N
2003,SKC,Kansas City Wizards,30,11,9,10,,48,44,4,42,,Y,N,N,N
2003,LAG,Los Angeles Galaxy,30,9,9,12,,35,35,0,36,,Y,N,N,N
2003,NYB,MetroStars,30,11,9,10,,40,40,0,42,,Y,N,N,N
2003,NER,New England Revolution,30,12,9,9,,55,47,8,45,,Y,N,N,N
2004,CHI,Chicago Fire,30,8,9,13,,36,44,-8,33,,N,N,N,N
2004,COL,Colorado Rapids,30,10,11,9,,29,32,-3,41,,Y,N,N,N
2004,CLM,Columbus Crew,30,12,13,5,,40,32,8,49,Supporters' Shield champion,Y,N,N,Y
2004,DCU,D.C. United,30,11,9,10,,43,42,1,42,MLS Cup champion,Y,Y,Y,N
2004,DAL,Dallas Burn,30,10,6,14,,34,45,-11,36,,N,N,N,N
2004,SKC,Kansas City Wizards,30,14,7,9,,38,30,8,49,Lamar Hunt U.S. Open Cup champion,Y,Y,N,N
2004,LAG,Los Angeles Galaxy,30,11,10,9,,42,40,2,43,,Y,N,N,N
2004,NYB,MetroStars,30,11,7,12,,47,49,-2,40,,Y,N,N,N
2004,NER,New England Revolution,30,8,9,13,,42,43,-1,33,,Y,N,N,N
2004,SJE,San Jose Earthquakes,30,9,11,10,,41,35,6,38,,Y,N,N,N
2005,CHI,Chicago Fire,32,15,4,13,,49,50,-1,49,,Y,N,N,N
2005,CVA,Chivas USA,32,4,6,22,,31,67,-36,18,,N,N,N,N
2005,COL,Colorado Rapids,32,13,6,13,,40,37,3,45,,Y,N,N,N
2005,CLM,Columbus Crew,32,11,5,16,,34,45,-11,38,,N,N,N,N
2005,DCU,D.C. United,32,16,6,10,,58,37,21,54,,Y,N,N,N
2005,DAL,FC Dallas,32,13,9,10,,52,44,8,48,,Y,N,N,N
2005,LAG,Los Angeles Galaxy,32,13,6,13,,44,45,-1,45,,Y,Y,Y,N
2005,SKC,Kansas City Wizards,32,11,12,9,,52,44,8,45,,N,N,N,N
2005,NYB,MetroStars,32,12,11,9,,53,49,4,47,,Y,N,N,N
2005,NER,New England Revolution,32,17,8,7,,55,37,18,59,,Y,Y,N,N
2005,RSL,Real Salt Lake,32,5,5,22,,30,65,-35,20,,N,N,N,N
2005,SJE,San Jose Earthquakes,32,18,10,4,,53,31,22,64,,Y,N,N,Y
2006,CHI,Chicago Fire,32,13,8,11,,43,41,2,47,2006 MLS Cup Playoffs,Y,N,N,N
2006,CVA,Chivas USA,32,10,13,9,,45,42,3,43,2006 MLS Cup Playoffs,Y,N,N,N
2006,COL,Colorado Rapids,32,11,8,13,,36,49,-13,41,2006 MLS Cup Playoffs,Y,N,N,N
2006,CLM,Columbus Crew,32,8,9,15,,30,42,-12,33,,N,N,N,N
2006,DCU,D.C. United,32,15,10,7,,52,38,14,55,2007 CONCACAF Champions' Cup,Y,N,N,Y
2006,DAL,FC Dallas,32,16,4,12,,48,44,4,52,2007 North American SuperLiga,Y,N,N,N
2006,HOU,Houston Dynamo,32,11,13,8,,44,40,4,46,2007 CONCACAF Champions' Cup,Y,Y,Y,N
2006,SKC,Kansas City Wizards,32,10,8,14,,43,45,-2,38,,N,N,N,N
2006,LAG,Los Angeles Galaxy,32,11,6,15,,37,37,0,39,2007 North American SuperLiga,N,N,N,N
2006,NER,New England Revolution,32,12,12,8,,39,35,4,48,2007 North American SuperLiga,Y,Y,N,N
2006,NYB,New York Red Bulls,32,9,12,11,,41,41,0,39,2006 MLS Cup Playoffs,Y,N,N,N
2006,RSL,Real Salt Lake,32,10,9,13,,45,49,-4,39,,N,N,N,N
2007,CHI,Chicago Fire,30,10,10,10,,31,36,-5,40,2007 MLS Cup Playoffs,Y,N,N,N
2007,CVA,Chivas USA,30,15,8,7,,46,28,18,53,2008–09 CONCACAF Champions League Preliminary Round 2,Y,N,N,N
2007,COL,Colorado Rapids,30,9,8,13,,29,34,-5,35,,N,N,N,N
2007,CLM,Columbus Crew,30,9,10,11,,39,44,-5,37,,N,N,N,N
2007,DCU,D.C. United,30,16,7,7,,56,34,22,55,2008–09 CONCACAF Champions League Group Stage 2,Y,N,N,Y
2007,DAL,FC Dallas,30,13,5,12,,37,44,-7,44,2007 MLS Cup Playoffs,Y,N,N,N
2007,HOU,Houston Dynamo,30,15,7,8,,43,23,20,52,2008–09 CONCACAF Champions League Group Stage 2,Y,Y,N,N
2007,SKC,Kansas City Wizards,30,11,7,12,,45,45,0,40,2007 MLS Cup Playoffs,Y,N,N,N
2007,LAG,Los Angeles Galaxy,30,9,7,14,,38,48,-10,34,,N,N,N,N
2007,NER,New England Revolution,30,14,8,8,,51,43,8,50,2008–09 CONCACAF Champions League Preliminary Round 2,Y,Y,Y,N
2007,NYB,New York Red Bulls,30,12,7,11,,47,45,2,43,2007 MLS Cup Playoffs,Y,N,N,N
2007,RSL,Real Salt Lake,30,6,9,15,,31,45,-14,27,,N,N,N,N
2007,TOR,Toronto FC,30,6,7,17,,25,49,-24,25,,N,N,N,N
2008,CHI,Chicago Fire,30,13,7,10,,44,33,11,46,2009 North American SuperLiga 4,Y,N,N,N
2008,CVA,Chivas USA,30,12,7,11,,40,41,-1,43,2009 North American SuperLiga 4,Y,N,N,N
2008,COL,Colorado Rapids,30,11,5,14,,44,45,-1,38,,N,N,N,N
2008,DCU,D.C. United,30,11,4,15,,43,51,-8,37,2009–10 CONCACAF Champions League Preliminary Round 3,N,N,N,N
2008,DAL,FC Dallas,30,8,12,10,,45,41,4,36,,N,N,N,N
2008,HOU,Houston Dynamo,30,13,12,5,,45,32,13,51,2009–10 CONCACAF Champions League Group Stage 2,Y,N,N,N
2008,SKC,Kansas City Wizards,30,11,9,10,,37,39,-2,42,2009 North American SuperLiga 4,Y,N,N,N
2008,LAG,Los Angeles Galaxy,30,8,9,13,,55,62,-7,33,,N,N,N,N
2008,CLM,Columbus Crew,30,17,6,7,,50,36,14,57,2009–10 CONCACAF Champions League Group Stage 2,Y,Y,Y,Y
